BTC-RDD,947350567.1436278,12061,1.02e-06,1.01e-06,1.01e-06
BTC-DOGE,574758578.9627817,13583,5.4e-07,5.3e-07,5.4e-07
BTC-SC,102788469.66717768,23496,2.36e-06,2.35e-06,2.35e-06
BTC-XVG,91441113.8471952,26643,6.78e-06,6.75e-06,6.75e-06
BTC-SRN,72702084.91253392,4311,5.226e-05,5.225e-05,5.225e-05
BTC-TRX,59169729.54906444,8595,8.11e-06,8.1e-06,8.11e-06
BTC-XDN,38990843.57088474,4098,1.6e-06,1.58e-06,1.58e-06
BTC-DGB,38273413.00976357,11748,4.8e-06,4.79e-06,4.79e-06
BTC-VIB,31213241.10832633,1184,2.744e-05,2.743e-05,2.744e-05
BTC-BITB,29652401.61641619,2973,1.03e-06,1.02e-06,1.03e-06
BTC-COVAL,22413760.80752206,2350,9.7e-07,9.6e-07,9.6e-07
BTC-2GIVE,21924207.25362665,1051,1.08e-06,1.06e-06,1.08e-06
USDT-TRX,16655429.95089726,858,0.06970078,0.06969443,0.06969443
BTC-ADA,13567073.60497061,17519,3.057e-05,3.056e-05,3.057e-05
USDT-XVG,10880519.3464307,3030,0.05784301,0.0575,0.05701215
USDT-SC,9230565.87915772,1265,0.02,0.01999001,0.02
BTC-MUSIC,9056483.45450909,5027,1.72e-06,1.71e-06,1.72e-06
BTC-BURST,8616461.22563407,3868,3.13e-06,3.11e-06,3.11e-06
BTC-POLY,6697856.15708988,1460,0.00012342,0.0001221,0.00012306
ETH-TRX,6620552.02352805,573,9.597e-05,9.55e-05,9.572e-05
BTC-XMY,5721970.8783272,2024,9.8e-07,9.7e-07,9.7e-07
BTC-XLM,5253914.29728534,7612,4.129e-05,4.126e-05,4.129e-05
BTC-ADT,5138722.8681181,2966,5.07e-06,5.05e-06,5.05e-06
BTC-XRP,4828394.99163204,14031,8.349e-05,8.317e-05,8.349e-05
BTC-WAX,4716461.57955858,2057,3.525e-05,3.501e-05,3.525e-05
BTC-EBST,4474890.71962296,4844,2.994e-05,2.958e-05,2.99e-05
BTC-XEM,4299735.55845119,7764,4.116e-05,4.078e-05,4.116e-05
ETH-SC,4139458.44824068,943,2.779e-05,2.772e-05,2.789e-05
USDT-ADA,3883910.59451465,2853,0.261,0.2598442,0.26
USDT-XRP,3473159.6412543,3166,0.7143,0.711,0.7143
